56778   39    2    9    8   34    8   13    0    9   67    8    3    3    1    3    1   10    0   17   18   20    5   51    1    4    4   19    1   44    6    8    1   13   45    0   11   15   17   11    0    0    7   34    7   39   19    0    5    1
56772   23    2   23   10   49    5    9    0    4   51    4    2    6    4    1    0   10    0   20   34   17   13   48    1    7    4   19    0   32    4    1    0   11   21    4   11   15   11   14    4    0    7   25    5   19   22    0   18    0
56863   35    3    8    8   30    9    7    0    7   71    8    2    1    0    2    1   15    0   16    9   21    6   39   10    7    4   12    1   28    4    5    1    8   39    1    6   17    4    8    0    0    5   32    2   38   20    0    5    2
56871   46    2    2   18   60   10    9    0    3   85    5    2    1    1    5    0   12    0   11   13   28    9   52    5    7    6   14    0   40    5    5    0   12   47    1    5    5    8   15    3    0    7   38    1   35   13    0   14   18
56882   48    2    2    4   47    6    7    0    8   64    7    1    1    0    2    1   18    0   13   11   21    3   30    3    5    2   12    0   34    2    3    0   16   36    1   10   16    6   11    9    0    7   45    4   27   14    0   13    8
56880   52    0   18   11   37    8   20    0    9   58    7    1    0    0    4    2   14    0   13   22   25    5   50    5   13    6   10    1   36    4    8    2   16   60    2    9   16   11   12   15    0   13   43    4   40   13    1   10    6
56881   46    2    3   14   54    7   22    0    5   75    5    1    3    0    1    3   11    0    8   27   23   13   46    2   13    8   10    2   29    6    6    1   22   64    6    8    5   12   16   19    0   15   63    1   63    6    1   23   11
56785   29    2   12    8   34    5    5    0    8   62    4    3    9    3    1    1    6    0   22   22   25    8   38    8    5    1   16    2   40    5    2    0   17   29    6   12   12   16   13    4    0    4   30    3   43   25    0   18    0
56775   14    0    0   10   40    4    5    0   11   47    1    6    3    0    1    2    4    0   26   18   13   20   47    1    2    4   14    3   42    7    2    1    3   19    0   27    6    9   16    5    0    6   32    4   17   14    0   16    0
56872   44    4    9   12   58   14   18    2   13   81   10    4    1    0    7    5   18    0   23   20   29   12   84    1   10    6   24    3   39   10    7    1   16   46    3   17   25   15   10    0    0    9   50    7   44   26    0    8    2
56483    9    6   11   12   12    5   19   10    8    6   13   14   16   12    4   18   13    3   21    7    7    4   19    9    6    8   10    5   14    5   12    3    1   15   13    5   12   10    9    4    9   11   10   14    7   16   11    8   10
56489    2    0    5    1   12    0    6    0    0    2    7    4    2    3    2    1    3    1   20    1    3    8    7    0    4    1    3    0    4    2    5    0    0    5    5    1    2    5    9    1    2    2   10    2    0    5    0    1    0
56497   24   13   23   18   24   17   38   13   20   28   28   22   24   31   17   21   17   13   33   18   20   27   34   17   17    8   13   14   21    6   21    2    9   20   23    9   24   18   24    8   19   20   27   13   20   18   14   11   19
56596   25   12   22   32   22   17   28   19   29   43   24   19   22   31   17   25   12   17   31   33   28   31   32   18   27    8   27   15   17   12   23   12   20   27   26   12   26   21   19   29   31   15   37   25   16   26   36   18   38
56595   11    6   13   16   18   10   21    9   16   39   12   20   22   19    9   15    5    8   26   20   18   18   27   19   12    5   14    9   14    6   14    5   10   22   17    8   15   13   10   13   15   17   30   13   26   15   26   13   13
56582   11    3   10    4   15    6   12    1    4   27    8    6   10    5    7    5    5   10   23    6   10   12   14    8    7    2    9    5   10    4   10    1    5   10   14    4   10   10   20    6   10    7   21    5   12   14    6   13   10
56594    3    0    6    3    7    1    5    0    1   22    2    3    4    0    0    0    2    3   15    2    4    3    7    0    1    0    3    0    5    0    2    0    0    4    5    0   12    2    9    2    0    3    7    1    7    3    0    3    0
56586    3    2    8    4   17    3    9    0    2   28    3    5   10    0    1    0    1    1   15    5    6    7    6    1    3    8    8    0    3    2    5    0    3    7    4    0   16    5    9    7    0    5   14    5   11    5    1    5    1
56585    3    2    4   11   24    7   10    0    8   31    8    9   14    2    4    3    5    0   18   13   15   13   21    2    6    1   16    2    9    5    7    0    3    7   12    1   25    8    9    8    2    3   25    6   13   12    5   10    5
56673    1    1    7   11   23    3    2    0    2   35    7    2    1    0    0    1    6    0   17    5   13   15   42    1    2    6   22    0   10    1    4    0    2    5   10    0   17   10   20    1    0    0   14    0    8    7    3    1    9
56688    8    2    5   13   16    6   11    0    4   47    6    1    0    0    3    2    5    0   18   12    9   20   60    1    1    2   11    0   13    0    2    1    3   12   13    3    8    2    8    2    0    7   16    2   16    4    2    2    7
56684   11    1    9   13    7    4   10    0    4   37    5    4    2    2    2    3    9    0   20    9   12    7   22    1    1    1   12    1   10    3    2    0    1    4   12    3   10    6    3    2    0    6   16    2   18    1    3    1    9
56697   15    2   10   13   12    2    8    0    9   46    6    7    4    3    5   11    3    1   40   15   11   10   20    9   12    2   11    4   14    4    8    4    8   18    7    7    8    6    7    9    1   11   31   17   36    7    3   13    7
56786   25    3    2   25   29    4    6    0   11   52   17   12    9    3    3    1    6    0   29   28   15   12   28   10    7    2   12    2   32    1    4    0   20   31    9   16   11    7   21   11    0   15   68   11   38   18    2   34    1
56781   20    2    2   13   29    6    3    0   13   57    7    6   10    0    2    2    7    1   22   20   21   14   28    2    4    2   13    1   28    3    2    0   12   31    5   16   12    5   12   10    0    5   25    8   37   19    1   30    1
56782   32    1   10   12   43    6    8    0   12   59   14    8   10   12    3    1    9    0   25   25   16   12   28    4    4    5   22    3   40    3    6    1   24   41    7   13   11   24   29    9    2   13   66    4   49   17    3   20    3
56790   36    3   27   18   30    1   11    1   10   47   23    5    6    7    1    2    8    0   21   34    9    7   20    6    5    4   13    3   12   17    6    2   18   32    4   19    7    6   19   14    1   18   53   20   29    8    4   28    1
56891   68    8   40   41   51    9   33    2   19  102   26   10    8   16    5   13    9    4    7   58   32   16   33   21   29   13    5    5   11    6   19    4   29   60   16   10   17   22   22   38    6   17   36    8   46   16   17   28   11
56883   65    3   24   30   60    7   20    1   10   80   12    3    3    5    5    5   10    1   14   36   23   14   36   15   23    6    6    3   16    5   18    5   25   54    5   12   16   13   13   35    1   19   36    4   39    6    3   11    8
56788   70    4   26   15   38    7   14    0    7   55   18    1   12    0    2    2   12    0   12   31   17    9   31    9   17    7    8    2   23    3   10    2   19   63    3    9   20   11   16   10    0   20   58    4   44    7    0   19    4
56889   40    1   20   35   46    3   23    0   11   95   16   15    7    3   14    2    6    2    3   38   18   11   39   14    8   14    9    1    4    7   23   21   12   62    9    9   11   15   22   29    1   50   20    2   44   11    6    8   11
59007   47    2   15   29   43    2   21    1    5   55   16   20    6    2    7    4   11    4   16   31    4    8   21   14    4    6    1    1    7    6   42   22    4   41    4    6    8    7   18   26    0   77   13    6   24    4    7    4    3
59205   52    6   34   34   45    4   32    5    5   69   21   35    8    3   14    4   20   15   14   42    3   10   24   12    4    5    2    0   10    5   50   52    3   36    7    6   29    7   23   20    3   65   24   11   15    2    6    5    3
56991   66    2   11   20   47    1   20    0    7   95   16   16    0    0    7    2   13    7    1   28   13    4   19    2    2   17    6    1    2    5   30   33    7   43    3    7   17   13   17   34    3   63    9    2   31    3    3    9    5
56992   67    2   32   31   52    0   26    2    6   79   13   26    8    3   16    4   15    7    2   36   11    4   17    5    8   11    4    5   12    5   46   41    4   38    5   12   27   21   24   45    0   88   10    1   21    5    8    7    4
56994   55    1   26   26   46    1   11    0    3   77    6   15    2    1   14    3   11    2    2   16    9    4   20    0    1   13    5    0    1    4   34   45    3   57    2    5   17   18   16   31    2   58    7    1   15    2    2    3    3
56995   67    1   21   35   56    6   27    0    4   92   18   26    5    3   13    6   22    4    7   26   12    4   17    5    5   12    6    1   23    7   43   58    4   34    7   10   47   27   24   36    4   90    7    2   13    8    8    4    5
56996   43    3   15   31   34    2   21    1    3   71   12   28    2    2    7    3   12    1    5   22    9    2   16    2    4    8    5    0   10    2   33   61    1   21    2    5   19   17   24   16    3   67   15    3   15    2    5    4    5
56885   73    6    9   26   64    6   13    0    4   98   19    3    0    1    5    1    6    0    3   21   16    7   41    7   10   15    7    0   14    5    7    3    7   35    3    3   12   10   10   28    0   25   32    1   45    2    0    1   15
56886   71    2    7   28   51    6   14    0    4   93   19    2    1    2    3    1    9    1    7   25   14    5   34    9    6   12    4    1   10    6   11    5    8   46    6    4   11    5   12   26    0   27   25    0   51    1    0    0    9
56970   62    0    7   27   66    5   12    0    4  152   33    1    0    1    6    5   15    7    5   30   25   11   72    5    7   22    7    0    7    9   12   10    6   69    4   12   23   14   13   33    1   27   15    0   39    1    0    5    1
56973   35    0    3   19   53    6   16    0    3  168   15    6    0    1   11    1   16   13   10   19   19   12   48    3    5    8    7    0    2   11   13   10   14   75    5    8   19    8   13   15    1   15   11    5   36    1    0    7    0
56982   38    0    7   23   26    3   15    0    2  126   14    7    0    1   14    1   13    2    3   27   19    7   30    1    3   17   10    0    1    6   12   14   12   62    2    4   10    8   13   15    1   31   14    0   35    1    1    3    0
56984   58    2   21   30   54    6   24    0    3  150   32   10    0    5   18    4   28    4   11   41   20   20   41    1    3   30   18    1    1   16   31   33   12   85    4   11   35   16   21   33    4   53   12    2   40    3    2   25    1
56985   49    0   20   19   45    1   15    0    2  120   15   11    0    1   15    1   15    0    2   23   11   15   34    1    1   13   12    1    1    9   24   34    7   55    4    8   15    9   15   34    5   26    6    0   19    0    0   19    0
56975   56    0    6   25   81    4   23    0    2  203   21    3    0    3   12    7   18    0   13   23   18   15   74    0    2   15    9    1    1   15   14   17    8   83    3    4   21   12   11   12    3   32    2    0   31    1    1   21    0
56976   99    3   32   55   92   14   35    0   13  272   42   15    2   13   23   12   28    7   12   70   40   27   74   10   12   34   20    2    3   25   38   37   15  120   12   28   28    6    7   36    1   75   11    0   38    2    3   30    0
56978  128    0   32   62  132   12   28    0    6  236   22   11    1   14   18    5   36    4    8   69   28   20   69   21    9   34   10    1    4   12   46   31    7  170   11   22   66   15   20   31    8  100   42    3   63    3    2   40    0
56987  153    1   46   47  105   14   50    0    8  235   63   28    1   13   40   22   43   22    8   68   40   14   72   13    5   54   17    0    1   16   65   47   11  106   17   38   81   22   22   64    3   86   24    1  105    3    1    7    6
56986  100    3   44   41   76   13   28    1    4  140   35   19    4    8   25   19   27   11   10   47   16   20   41   10    6   20   12    3    3   13   51   58    7   65    7   15   51   15   22   50   12   93   12    4   32    8    8    6    5
56989   77   36   32   45   64    5   23    3    2   90   27   22    6    5   26   15   39   30    9   44    7    8   44    1    0   10    4   25    6   11   34   65   13   50    4   20   31   20   30   47   15   76   43    7   23    1    5   11    4
56870   35    1    2   18   56    7   12    0    2   71    4    0    0    0    9    1   13    0   14    5   32   14   60    5    3    7   11    0   31    5   11    1   11   56    0    2   13   11   10    4    0    4   34    2   34   13    0    4    7
56875   73    3    7   25  109   15   10    0    6   99   14    1    0    2    7    1   13    0    5   33   24    8   59    5    4    5   12    1   20    7    7    3    9   59    2   12    6   17   13   11    1    9   22    0   46   11    0   21   10
56873   44    2    5   11   53    9   21    0    1   78    4    0    0    0    1    0   11    0    6   13   24    6   43    2    3    3    4    0   32    5    4    1   16   72    2    8    5    8   13    8    0    9   23    1   49    8    0   11   12
56876   88    2    8   26   95    9   11    0    7   99   14    1    0    1    6    1   18    0    7   24   18   11   55    9    2    6   13    0   11    6    7    5    5   57    1    4   13    9   13    7    0   14   28    0   49    3    0   12   20
56879   90    1    8   16   63    9   15    0    5  114   15    1    1    0    7    4   16    0    7   17   22    8   42    1    4   10   12    0    8    6   14    6    4   43    4    5   11   15   12   16    0   25   30    0   44    4    0    6   19
56878   91    1    7   19   74    8   15    0    2  114   18    2    0    0    5    3   16    0    7   23   19   11   47    4    3   12   13    0   10    6    8    7    6   41    7    5   12   12   10   15    1   24   26    0   37    9    0    6    7
56898   97    4    3   27  135   15   12    0    8  106   23    3    1    3    9    3   24    0   11   30   30   15   66    9    3    8   17    1   18    8    9    3    7   83    4   11   14    7    6   10    1   14   29    0   44    7    0   12   11
56869   80    3    3   39  133   12   13    0    5  123   17    3    0    1   14    1   19    8    7   23   33   26  111   13    7    5   14    2   26   15    7    5    5   87    1   11   11   10    4    8    1   11   44    0   31   13    0   27    5
56966   75    0    4   28   72    5    4    0    2  180   37    2    0    2    3    8   12    4    6   27   16   26   81    4    4   11    6    0   13   11    5   15    4   42    2    5   17   11    4    6    1   28   12    0   23   10    0    5    0
56651    0    0    0    3   17    6    1    0    0    6    1    0    0    0    0    0    8    0   33    0    1    3   35    1    5    0    2    0    2    7    3    5    0    0    0    0    4    1    6    0    0    0    7    0    0   11    0    2    0
56567    0    2    0    5   25    2    0    0    2    3    3    0    1    0    0    0   14    0   18    1    2   13   21    2    4    1   10    0    4    3    4    3    0    0    0    0    6    1    3    0    0    0    3    1    0   17    0    0    0
56652    6    0    2   15   24    9    2    0    0   15    1    0    0    0    0    0    8    0   21    0    2    9   18    0    2    0    4    0    3    2    3    1    0    0    0    0    6    0   16    0    0    0   10    0    3    1    0    1    2
56664    0    2    0    9   22    1    8    0    1   18    0    0    1    0    0    0    2    0   29    0   10   13   46    0    1    0    6    0    5    6    0    0    1    2    0    0    5    5   12    0    0    0    1    0    5   12    0    0    0
56444    2    5    3    2   38   26    2    2    1    1    6    3   16    5    2    0   11    0   34    0   10   10   24    4    4    8   14    0    9   15   10    6    0    1    1    0   20    0    2    1    0    3   11    3    2    4    6    0    1
56543    0    2    0    1   23   24    0    4    0    0    1    6    4    0    0    0   14    0   11    0    0    4   13    7   23    2    2    0    7    8   15    4    0    0    3    0   13    4    6    0    0    0   15    1    0    2    1    0    0
56548    0    1    0    2   36   32    0    5    0    0    6   13   23    7    0    0   44    0   36    0   14    7   27   31   35   16   23    0   17   14   43    4    0    0    1    0   41    0   11    0    0    6   43    4    2    1    2    1    0
56533    2   29    5   12   72   73   15   30    2    0   14   20   67   30    3    3   64    0   78    0   56   49   61   90   54   38   16    1   63   25  107   14    1    2   10    0   76    1    9    1    1   15   46   29   18   15   18    0   15
56641    0    9    2    7   82   49    4    5    0    0   38   18   42    9    0    0   78    0   73    0   31   27   62   65   62   30   42    4   42   45  116   14    2    0    7    0   79    0   17    0    0   20  108   13    7    2    3    4    4
