56778    4   15   11    2   20    8   10   20   10   12   21    6    5    2   31   25    2   32    2   17   15   11   32    2    0    1   30    5    1    3   30   27   24    0   14    0   15   11   78   35    0   10   51   28   13    0   18   14    7    3
56772    2   13   11    1   24   13    6   17    9    8    8    5    5    2   25   30    4   27    2    9    7    5   27    2    2    1   26    6    1    5   39   39   25    1   24    1   15   16   79   22    0   13   30   27    7    0   12   19    6    0
56863    4   11    4    2   10   12    8   17    9    8   13    2    7    1   27   29    1   31    1   15   17    4   32    1    0    0   21    5    4    4   24   26   21    1   16    0   15    9   73   25    0   11   38   30   13    0   18   14    5    3
56871    7   21    4    0   14   16    6   26    7    9   11    4    4    0   38   23    3   40    1    9   21    3   51    3    0    1   19    4    5    4   33   43   30    0   14    2    7    5   64   35    0    9   47   39   16    0   13   18   11    6
56882    6   19    3    1    9   16    5   23    6    7   16    2    7    0   33   20    2   26    0   11   13    0   33    1    3    1   14    4    3    7   29   35   22    0   10    0   14    6   48   20    0   14   38   26    9    0   14   13    7    4
56880    2   24   14    1   18   18    5   27   11    6   18    6    5    1   37   27    9   33    1   15   20    1   36    3    3    1   30    6    4    5   21   63   28    0   15    1    8    4   62   38    0   15   39   30   41    0   14    7    6    2
56881    7   22    4    1   19   17    3   34   17   11   16   11    6    1   32   33    4   25    1    8   31    0   33    1    4    0   18    6    5   13   23   70   30    0   29    3    7    5   39   27    2   15   44   28   38    1   18   12   10    6
56785    1   13   12    2   25    3   11   18   16    7   13    9    2    0   26   26    6   24    1    8    7    2   32    2    3    1   35   13    3    6   32   52   24    2   24    3   17   14   58   31    0   17   29   31   32    0   10   10    8    1
56775    0   14    5    2   22    4    7   28    3   11    6    3    3    1   22   40    1   25    1    7    7    5   44    1    0    0   28    6    2    3   32   37   17    0   20    2   15   19   70   28    0   13   15   18   27    0   16   31    4    3
56872    4   29   10    2   23   17   11   23   10    8   22    6   10    2   35   31    2   39    7   19   17   14   38    2    0    3   24   10    3    3   30   35   28    1   17    0   16   15   86   51    0   17   54   27   14    1   18   19   13    4
